,LSOA21CD,crime_arson_and_criminal_damage,crime_burglary,crime_drug_offences,crime_miscellaneous_crimes_against_society,crime_possession_of_weapons,crime_public_order_offences,crime_robbery,crime_theft,crime_vehicle_offences,crime_violence_against_the_person,broad_violence_and_weapons,broad_property,broad_public_order_and_drugs,crime_total,population,income_score,employment_score,education_score,health_score,housing_barriers_score,living_env_score,population_density_per_sqkm,pct_age_0_14,pct_age_15_24,pct_age_25_44,pct_age_45_64,pct_age_65_plus,pct_male,pct_born_uk,pct_resident_10y_plus,pct_resident_5_10y,pct_resident_2_5y,pct_resident_lt_2y,pct_same_address_1y,pct_student_term_address,pct_uk_migrant_1y,pct_intl_migrant_1y,pct_asian,pct_black,pct_mixed,pct_white,pct_no_religion,pct_christian,pct_buddhist,pct_hindu,pct_jewish,pct_muslim,pct_sikh
0,E01000006,2.1715526601520088,1.6286644951140066,1.6286644951140066,2.1715526601520088,0.5428881650380022,2.7144408251900107,1.0857763300760044,7.60043431053203,4.885993485342019,19.543973941368076,21.172638436482085,16.286644951140065,6.514657980456026,43.97394136807817,1842,0.343,0.12,25.442,-0.372,38.025,29.616,12585.3,21.172638436482085,13.355048859934854,33.60477741585233,23.289902280130292,8.577633007600435,51.1,48.1,29.7,9.4,8.7,4.1,90.2,0.1,8.3,1.4,48.0,10.8,3.8,32.8,7.0,37.2,0.7,5.7,0.1,39.1,3.6
1,E01000007,14.807162534435262,4.476584022038567,18.93939393939394,1.0330578512396695,1.721763085399449,18.93939393939394,13.085399449035814,48.89807162534436,3.787878787878788,76.79063360881543,91.59779614325069,71.96969696969697,38.911845730027544,202.4793388429752,2904,0.486,0.186,16.481,0.464,37.969,23.096,14540.0,24.34573002754821,11.707988980716253,42.42424242424242,19.042699724517906,2.479338842975207,49.8,41.9,29.2,12.5,8.9,7.5,78.7,0.2,18.9,2.1,32.0,28.5,6.3,28.8,12.6,38.1,0.4,4.1,0.0,37.7,1.0
2,E01000008,7.254464285714286,2.232142857142857,16.183035714285715,2.232142857142857,1.1160714285714286,2.232142857142857,1.6741071428571428,15.625,16.183035714285715,31.80803571428571,34.598214285714285,41.294642857142854,20.647321428571427,96.54017857142857,1792,0.51,0.192,26.991,0.372,50.212,24.374,9271.7,28.18080357142857,16.629464285714285,29.408482142857146,22.265625,3.515625,47.2,51.3,30.9,9.3,4.3,4.1,90.5,0.2,8.0,1.3,25.6,39.9,4.8,25.0,10.0,47.2,0.1,2.1,0.0,34.7,1.3
3,E01000009,11.647254575707155,7.210205213533,13.311148086522463,0.5546311702717693,0.5546311702717693,8.87409872434831,5.546311702717693,25.51303383250139,7.76483638380477,46.58901830282862,52.689961175818084,52.135330005546315,22.73987798114254,127.56516916250693,1803,0.403,0.176,36.999,0.29,38.484,45.999,14104.8,20.798668885191347,11.480865224625623,37.32667775929007,21.353300055463116,9.04048807542984,52.6,39.9,29.3,14.0,9.8,7.0,88.3,0.1,9.1,2.6,49.0,11.2,2.9,30.4,9.3,30.6,0.5,7.5,0.1,39.4,5.2
4,E01000011,5.875440658049354,2.937720329024677,5.287896592244419,2.3501762632197414,0.0,2.3501762632197414,4.700352526439483,9.9882491186839,4.112808460634548,37.60282021151586,42.30317273795535,22.914218566392478,9.9882491186839,75.20564042303172,1702,0.421,0.148,43.793,0.176,34.719,56.51,18549.6,21.327849588719154,14.218566392479437,36.486486486486484,20.27027027027027,7.696827262044653,53.6,39.0,27.1,13.2,12.9,7.8,89.2,0.1,8.3,2.4,54.8,10.1,2.4,28.3,5.5,33.0,0.2,4.1,0.1,47.9,4.6
5,E01000012,2.1294718909710393,1.2776831345826234,14.054514480408859,0.8517887563884157,2.1294718909710393,4.6848381601362865,2.1294718909710393,9.795570698466781,10.221465076660987,31.516183986371377,35.77512776831346,23.424190800681433,19.591141396933562,78.79045996592845,2348,0.494,0.18,27.786,-0.156,48.632,27.624,16702.3,31.04770017035775,12.265758091993186,35.26405451448041,17.50425894378194,3.9182282793867125,49.1,45.8,28.0,11.3,9.4,5.5,85.6,0.3,12.8,1.4,33.6,29.2,5.3,27.5,13.7,37.5,0.0,4.4,0.1,36.7,1.6
6,E01000013,9.615384615384617,6.944444444444444,7.478632478632479,3.7393162393162394,1.0683760683760686,8.547008547008549,15.491452991452991,30.982905982905983,13.354700854700853,43.8034188034188,60.363247863247864,60.8974358974359,19.764957264957264,141.02564102564102,1872,0.387,0.178,26.131,0.19,30.185,30.037,9003.8,23.504273504273502,12.767094017094017,31.41025641025641,23.23717948717949,9.081196581196581,48.2,59.9,23.2,7.1,6.1,3.8,93.2,0.2,5.3,1.3,16.9,18.0,3.4,59.9,26.0,50.3,0.6,0.8,0.2,14.5,0.4
7,E01000014,5.145797598627787,1.7152658662092624,5.717552887364208,1.7152658662092624,0.0,1.1435105774728416,5.717552887364208,11.435105774728417,10.291595197255575,36.59233847913093,42.309891366495144,28.58776443682104,8.576329331046313,79.4739851343625,1749,0.309,0.175,24.946,0.58,24.769,27.749,5131.9,23.270440251572328,12.235563178959405,31.903945111492284,23.441966838193252,9.148084619782733,48.9,63.2,21.8,6.4,5.7,2.9,93.0,0.3,6.0,0.8,17.4,16.9,2.6,61.1,25.0,50.5,0.2,1.5,0.2,15.7,0.1
8,E01000015,6.20347394540943,4.1356492969396195,6.20347394540943,0.8271298593879239,0.41356492969396197,2.8949545078577335,2.4813895781637716,6.6170388751033915,7.444168734491315,23.159636062861868,26.054590570719604,24.400330851943757,9.925558312655086,60.380479735318445,2418,0.415,0.19,26.659,0.093,31.671,19.334,8617.2,26.302729528535977,13.110008271298593,31.4722911497105,22.29114971050455,6.823821339950372,46.8,61.8,22.1,8.2,4.6,3.4,92.7,0.1,6.4,0.8,15.3,20.2,4.6,56.3,26.5,49.5,0.5,1.3,0.0,15.9,0.2
9,E01000016,3.7817396002160995,0.0,2.7012425715829282,1.0804970286331712,0.0,1.6207455429497568,0.5402485143165856,8.64397622906537,7.023230686115613,15.126958400864398,15.667206915180982,19.448946515397083,5.4024851431658565,40.51863857374392,1851,0.348,0.154,22.547,0.543,30.02,20.576,9310.9,22.52836304700162,13.776337115072934,30.47001620745543,24.365207995678013,8.860075634792004,47.0,61.8,23.0,6.2,6.1,3.0,92.5,0.4,6.6,0.5,14.5,20.3,2.6,57.8,23.1,55.1,0.2,1.0,0.1,14.0,0.5
